,Countries,"Cost of living, 2017",Global rank,Available data,Continent
0,Bermuda,225.86,1,2017 - 2017,America
1,Iceland,209.1,2,2017 - 2017,Europe
2,Switzerland,197.89,3,2017 - 2017,Europe
3,Norway,186.52,4,2017 - 2017,Europe
4,Denmark,171.78,5,2017 - 2017,Europe
5,Barbados,169.9,6,2017 - 2017,America
6,Australia,168.02,7,2017 - 2017,Oceania
7,Israel,167.52,8,2017 - 2017,Asia
8,New Zealand,160.18,9,2017 - 2017,Oceania
9,Bahamas,158.09,10,2017 - 2017,America
10,Ireland,157.19,11,2017 - 2017,Europe
11,Luxembourg,156.4,12,2017 - 2017,Europe
12,Sweden,155.01,13,2017 - 2017,Europe
13,Finland,151.13,14,2017 - 2017,Europe
14,Japan,144.44,15,2017 - 2017,Asia
15,UK,144.03,16,2017 - 2017,Europe
16,USA,143.34,17,2017 - 2017,America
17,Canada,142.12,18,2017 - 2017,America
18,Netherlands,137.57,19,2017 - 2017,Europe
19,Belgium,136.89,20,2017 - 2017,Europe
20,France,135.27,21,2017 - 2017,Europe
21,Austria,134.56,22,2017 - 2017,Europe
22,Ant.& Barb.,131.03,23,2017 - 2017,not found
23,Germany,127.47,24,2017 - 2017,Europe
24,Italy,124.24,25,2017 - 2017,Europe
25,Uruguay,124.24,26,2017 - 2017,America
26,South Korea,123.53,27,2017 - 2017,Asia
27,Aruba,118.56,28,2017 - 2017,America
28,Hong Kong,114.81,29,2017 - 2017,Asia
29,Spain,113.82,30,2017 - 2017,Europe
30,Qatar,113.61,31,2017 - 2017,Asia
31,Montserrat,112.43,32,2017 - 2017,America
32,Singapore,112.16,33,2017 - 2017,Asia
33,UA Emirates,110.65,34,2017 - 2017,Asia
34,Saint Lucia,110.38,35,2017 - 2017,America
35,Cyprus,108.2,36,2017 - 2017,Asia
36,Portugal,106.46,37,2017 - 2017,Europe
37,Belize,105.86,38,2017 - 2017,America
38,Chile,105.82,39,2017 - 2017,America
39,Greece,104.66,40,2017 - 2017,Europe
40,Brazil,104.54,41,2017 - 2017,America
41,Slovenia,103.47,42,2017 - 2017,Europe
42,Malta,101.71,43,2017 - 2017,Europe
43,Dominica,99.61,44,2017 - 2017,America
44,Estonia,96.58,45,2017 - 2017,Europe
45,St. Vincent & ...,95.93,46,2017 - 2017,America
46,Grenada,95.54,47,2017 - 2017,America
47,Seychelles,94.81,48,2017 - 2017,Africa
48,Costa Rica,94.13,49,2017 - 2017,America
49,Slovakia,93.82,50,2017 - 2017,Europe
50,Argentina,93.54,51,2017 - 2017,America
